map_seed,start_point,target_point,population_size,generations,mutation_rate,max_steps,num_iterations,success_rate,avg_execution_time,avg_path_length,avg_generations_needed,best_path_length,best_path,successful_runs
17,"(8, 1)","(11, 14)",1000,2000,0.9,42,5,100.0,21.38,37.0,952.6,29,"[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (14, 6), (13, 6), (13, 7), (13, 8), (14, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (14, 14), (13, 14), (12, 14), (11, 14)]",5
18,"(7, 1)","(6, 14)",1000,2000,0.9,40,5,100.0,3.84,28.6,240.6,21,"[(7, 1), (8, 1), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",5
19,"(15, 1)","(7, 14)",1000,2000,0.9,47,5,100.0,6.49,30.0,386.6,28,"[(15, 1), (15, 2), (15, 3), (15, 2), (14, 2), (13, 2), (13, 3), (13, 4), (13, 5), (13, 6), (14, 6), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (14, 13), (13, 13), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14), (8, 14), (7, 14)]",5
20,"(11, 1)","(8, 14)",1000,2000,0.9,42,5,100.0,2.4,35.8,143.8,27,"[(11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (15, 2), (15, 3), (14, 3), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (13, 10), (13, 11), (13, 12), (13, 13), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14)]",5
1,"(12, 1)","(6, 14)",1000,2000,0.9,45,10,100.0,2.64,28.6,274.5,22,"[(12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (6, 14)]",10
2,"(15, 1)","(6, 14)",1000,2000,0.9,48,10,60.0,24.1,45.33,1328.67,39,"[(15, 1), (14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (9, 1), (8, 1), (7, 1), (7, 2), (8, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8), (7, 9), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14)]",6
3,"(11, 1)","(5, 14)",1000,2000,0.9,45,10,100.0,0.92,26.6,84.8,20,"[(11, 1), (10, 1), (10, 2), (9, 2), (8, 2), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14)]",10
4,"(11, 1)","(4, 14)",1000,2000,0.9,46,10,100.0,3.44,30.4,323.2,29,"[(11, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14)]",10
5,"(5, 1)","(4, 14)",1000,2000,0.9,40,10,100.0,0.1,23.6,0.0,19,"[(5, 1), (5, 2), (5, 3), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (5, 12), (5, 13), (4, 13), (4, 14)]",10
6,"(16, 1)","(9, 14)",1000,2000,0.9,46,10,100.0,0.28,32.8,17.8,21,"[(16, 1), (15, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (12, 4), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14)]",10
